Time,event_id,state,event_type,damage_property,damage_crops,begin_lat,begin_lon,end_lat,end_lon,event_narrative,storm_duration,begin_day,end_day,year,end_timestamp
22-Jul-2016 10:00:00,644488,MISSOURI,Excessive Heat,0.00K,,NaN,NaN,NaN,NaN,"Heat indices of 110 degrees or higher.",07:00:00,22,22,2016,22-Jul-0016 17:00:00
22-Jul-2016 14:00:00,644544,TENNESSEE,Excessive Heat,0.00K,,NaN,NaN,NaN,NaN,"Heat Indices of 110 degrees or greater.",03:00:00,22,22,2016,22-Jul-0016 17:00:00
05-Jul-2016 19:20:00,645310,MINNESOTA,Thunderstorm Wind,0.00K,0.00K,44.19,-92.65,44.19,-92.65,"An estimated 60 mph wind gust occurred northwest of Genoa.",00:00:00,5,5,2016,05-Jul-0016 19:20:00
07-Jul-2016 20:35:00,651861,KANSAS,Hail,0.00K,0.00K,39.2768,-101.0563,39.2768,-101.0563,"Estimated time of report from radar.",00:00:00,7,7,2016,07-Jul-0016 20:35:00
14-Jul-2016 16:04:00,635807,TENNESSEE,Thunderstorm Wind,,,35.5,-84.65,35.5,-84.65,"Several trees were reported down across the county.",00:00:00,14,14,2016,14-Jul-0016 16:04:00
02-Apr-2016 07:30:00,624400,WISCONSIN,Strong Wind,15.00K,0.00K,NaN,NaN,NaN,NaN,"Wind gusts of 40 to 50 mph were common across Grant County during the morning and early afternoon of April 2nd. The highest recorded wind gust was 47 mph by the automated weather observing equipment at the Platteville airport. A camper was destroyed when the strong winds tipped it over along U.S. Highway 18 near Patch Grove.",05:00:00,2,2,2016,02-Apr-0016 12:30:00
22-Jan-2016 13:00:00,609878,VIRGINIA,Winter Storm,,,NaN,NaN,NaN,NaN,"Snowfall amounts between 15 and 24 inches were reported across Stafford County.",35:00:00,22,24,2016,24-Jan-0016 00:00:00
14-Jul-2016 15:26:00,635800,TENNESSEE,Hail,,,35.87,-84.18,35.87,-84.18,"Quarter sized hail was reported in Farragut.",00:00:00,14,14,2016,14-Jul-0016 15:26:00
02-Apr-2016 07:30:00,624402,WISCONSIN,Strong Wind,0.20K,0.00K,NaN,NaN,NaN,NaN,"Wind gusts of 35 to 40 mph were common across Monroe County during the morning and early afternoon of April 2nd. The highest recorded gust was 40 mph by the automated weather observing equipment at the Sparta airport.",05:30:00,2,2,2016,02-Apr-0016 13:00:00
23-Jul-2016 18:58:00,655965,ILLINOIS,Thunderstorm Wind,,0.00K,42.0312,-89.6489,42.0312,-89.6489,"Old shed knocked down, with a portion of an old barn damaged and branches downed.  Radar estimated time.",00:00:00,23,23,2016,23-Jul-0016 18:58:00
23-Jan-2016 14:00:00,614903,MASSACHUSETTS,Heavy Snow,0.00K,0.00K,NaN,NaN,NaN,NaN,"Three to seven inches of snow fell across interior Plymouth County.",32:00:00,23,24,2016,24-Jan-0016 22:00:00
23-Jan-2016 15:00:00,614910,MASSACHUSETTS,Winter Weather,0.00K,0.00K,NaN,NaN,NaN,NaN,"One to seven inches of snow fell across southern Worcester County with the highest amounts falling in the extreme southern portion of the county.",16:00:00,23,24,2016,24-Jan-0016 07:00:00
14-Apr-2016 04:15:00,620058,LOUISIANA,Hail,0.00K,0.00K,32.8211,-92.6588,32.8211,-92.6588,"Dime size hail fell in Bernice.",00:00:00,14,14,2016,14-Apr-0016 04:15:00
