Time,event_id,state,event_type,damage_property,damage_crops,begin_lat,begin_lon,end_lat,end_lon,event_narrative,storm_duration,begin_day,end_day,year,end_timestamp
15-Jul-2016 17:27:00,643437,TENNESSEE,Hail,,,35.3845,-89.78,35.3845,-89.78,"Quarter size hail near Rosemark.",00:05:00,15,15,2016,15-Jul-0016 17:32:00
22-Jul-2016 17:05:00,644315,MISSOURI,Thunderstorm Wind,5.00K,0.00K,36.18,-89.65,36.1534,-89.6395,"Large tree down on powerlines in Caruthersville.",00:10:00,22,22,2016,22-Jul-0016 17:15:00
14-Jul-2016 10:40:00,643311,TENNESSEE,Thunderstorm Wind,,0.00K,35.0632,-88.4485,35.0598,-88.4296,"Three trees down on HWY 224.",00:05:00,14,14,2016,14-Jul-0016 10:45:00
22-Jul-2016 10:00:00,644490,MISSOURI,Excessive Heat,0.00K,,NaN,NaN,NaN,NaN,"Heat indices of 110 degrees or higher.",07:00:00,22,22,2016,22-Jul-0016 17:00:00
08-Jul-2016 17:55:00,635287,TENNESSEE,Thunderstorm Wind,,,35.65,-84.18,35.65,-84.18,"Numerous trees were reported down in the Greenback area.",00:00:00,8,8,2016,08-Jul-0016 17:55:00
07-Jul-2016 02:02:00,646574,IOWA,Thunderstorm Wind,2.00K,0.00K,43.28,-92.81,43.28,-92.81,"Several large tree branches were blown down in Osage.",00:00:00,7,7,2016,07-Jul-0016 02:02:00
14-Jul-2016 15:40:00,635803,TENNESSEE,Thunderstorm Wind,,,35.95,-84.01,35.95,-84.01,"A tree fell onto a car four miles west southwest of Knoxville.",00:00:00,14,14,2016,14-Jul-0016 15:40:00
14-Jul-2016 15:45:00,635804,TENNESSEE,Thunderstorm Wind,,,35.37,-84.3,35.37,-84.3,"Two trees were reported in Tellico Plains.",00:00:00,14,14,2016,14-Jul-0016 15:45:00
02-Apr-2016 05:30:00,624403,WISCONSIN,Strong Wind,0.20K,0.00K,NaN,NaN,NaN,NaN,"Wind gusts of 40 to 45 mph were common across Buffalo County during the morning and early afternoon of April 2nd.",07:30:00,2,2,2016,02-Apr-0016 13:00:00
11-Apr-2016 12:00:00,627395,TENNESSEE,Strong Wind,3.00K,0.00K,NaN,NaN,NaN,NaN,"Strong southerly gradient winds affected the Nashville metro during the afternoon hours on April 6. A peak wind gust of 49 mph (43 knots) was measured at the Nashville International Airport ASOS at 145 PM CDT. A few trees were blown down across Davidson County, including a tree blown down in front of the Blair School of Music on the Vanderbilt University campus, and a large tree blown down in the yard of a home in Hermitage.",04:00:00,11,11,2016,11-Apr-0016 16:00:00
